"","dt","actual"
"1",2018-03-02,1691.54637686659
"2",2018-03-03,1585.99639580252
"3",2018-03-04,1206.93143828013
"4",2018-03-05,341.192463264795
"5",2018-03-06,538.072223334319
"6",2018-03-07,631.090214013571
"7",2018-03-08,1621.33420448095
"8",2018-03-09,1117.79658181364
"9",2018-03-10,854.75200944443
"10",2018-03-11,633.85192458361
"11",2018-03-12,861.166424141876
"12",2018-03-13,760.900470401774
"13",2018-03-14,967.481099067479
"14",2018-03-15,1151.7935947265
"15",2018-03-16,1275.94768784934
"16",2018-03-17,377.930310370797
"17",2018-03-18,1908.54991944114
"18",2018-03-19,1015.00089489551
"19",2018-03-20,1779.52244129061
"20",2018-03-21,1042.74097661096
"21",2018-03-22,1456.44865630787
"22",2018-03-23,1164.95723861916
"23",2018-03-24,828.508314944993
"24",2018-03-25,507.449360988181
"25",2018-03-26,1422.81025076794
"26",2018-03-27,765.798988679438
"27",2018-03-28,1156.92817499409
"28",2018-03-29,650.436294605293
"29",2018-03-30,735.13570935214
"30",2018-03-31,1316.89891706098
"31",2018-04-01,1448.23464756323
"32",2018-04-02,2411.09672148048
"33",2018-04-03,1425.8733749903
"34",2018-04-04,1027.79839717536
"35",2018-04-05,1965.99550210405
"36",2018-04-06,587.908011524958
"37",2018-04-07,1898.82869773341
"38",2018-04-08,1074.98768458123
"39",2018-04-09,820.210623859424
"40",2018-04-10,1259.51861398893
"41",2018-04-11,569.553210151283
"42",2018-04-12,1092.22411010348
"43",2018-04-13,1583.13536489915
"44",2018-04-14,815.962045770257
"45",2018-04-15,1234.30446274107
"46",2018-04-16,1017.14014911111
"47",2018-04-17,546.043316880688
"48",2018-04-18,435.877726962911
"49",2018-04-19,1559.19029553488
"50",2018-04-20,1077.46523562789
"51",2018-04-21,1567.31779879235
"52",2018-04-22,373.000830980768
"53",2018-04-23,1485.65565402733
"54",2018-04-24,720.917077921256
"55",2018-04-25,1110.19497519405
"56",2018-04-26,1491.78723459715
"57",2018-04-27,1608.05046966041
"58",2018-04-28,903.009658683277
"59",2018-04-29,980.231197971716
"60",2018-04-30,587.917523399638
"61",2018-05-01,1331.60771298321
"62",2018-05-02,1359.31328251378
"63",2018-05-03,1258.63911419689
"64",2018-05-04,1327.62844255522
"65",2018-05-05,439.601851345042
"66",2018-05-06,824.383402026634
"67",2018-05-07,1129.04138105727
"68",2018-05-08,1153.74688078146
"69",2018-05-09,458.138602921617
"70",2018-05-10,375.950808205203
"71",2018-05-11,156.054978138552
"72",2018-05-12,224.444608573781
"73",2018-05-13,718.100179752896
"74",2018-05-14,1139.66715206817
"75",2018-05-15,1227.07550625028
"76",2018-05-16,970.413819935476
"77",2018-05-17,643.784917010088
"78",2018-05-18,506.944984111706
"79",2018-05-19,1409.76969572041
"80",2018-05-20,1631.43651501874
"81",2018-05-21,482.128887436631
"82",2018-05-22,1141.59459572869
"83",2018-05-23,837.686814223129
"84",2018-05-24,602.70547020492
"85",2018-05-25,957.925726094153
"86",2018-05-26,1613.45600028155
"87",2018-05-27,1776.32417020016
"88",2018-05-28,194.107338536747
"89",2018-05-29,952.672680647076
"90",2018-05-30,776.942599186244
"91",2018-05-31,1353.64132488018
"92",2018-06-01,651.208153314957
"93",2018-06-02,747.463745527495
"94",2018-06-03,614.876775445961
"95",2018-06-04,295.540596508772
"96",2018-06-05,638.150091688965
"97",2018-06-06,969.008649903967
"98",2018-06-07,1723.74834899362
"99",2018-06-08,1727.7080943777
"100",2018-06-09,800.046435971939
"101",2018-06-10,537.953706216541
"102",2018-06-11,515.364294346828
"103",2018-06-12,495.098413236389
"104",2018-06-13,1489.38462768209
"105",2018-06-14,1602.68953058875
"106",2018-06-15,542.772638138546
"107",2018-06-16,390.268168349779
"108",2018-06-17,392.473183976177
"109",2018-06-18,1741.82025113082
"110",2018-06-19,870.737260235757
"111",2018-06-20,826.490827043343
"112",2018-06-21,1285.1521097577
"113",2018-06-22,1021.15899591182
"114",2018-06-23,904.388845239719
"115",2018-06-24,1674.38772291189
"116",2018-06-25,1744.75624341168
"117",2018-06-26,1534.51545955646
"118",2018-06-27,1092.22930366984
"119",2018-06-28,440.944311647587
"120",2018-06-29,473.076199885269
"121",2018-06-30,861.906124131051
"122",2018-07-01,1376.89654187886
"123",2018-07-02,1308.94600606365
"124",2018-07-03,607.351080936863
"125",2018-07-04,487.885268341085
"126",2018-07-05,458.936648959986
"127",2018-07-06,742.284565872052
"128",2018-07-07,1503.30418251005
"129",2018-07-08,1301.44217634114
"130",2018-07-09,745.835250478835
"131",2018-07-10,427.572984386806
"132",2018-07-11,444.089947000629
"133",2018-07-12,758.559548941859
"134",2018-07-13,881.358736860305
"135",2018-07-14,827.17553721835
"136",2018-07-15,1014.20166608121
"137",2018-07-16,359.276107781326
"138",2018-07-17,2033.85553278182
"139",2018-07-18,1251.60830115367
"140",2018-07-19,804.609349316977
"141",2018-07-20,640.201219974735
"142",2018-07-21,1115.75137354084
"143",2018-07-22,407.241092774393
"144",2018-07-23,564.092625857638
"145",2018-07-24,756.627256855535
"146",2018-07-25,937.724825663799
"147",2018-07-26,1389.86092971061
"148",2018-07-27,206.301941081176
"149",2018-07-28,810.41547991074
"150",2018-07-29,731.249102034369
"151",2018-07-30,1375.27549392218
"152",2018-07-31,605.486573095479
"153",2018-08-01,1359.81669597401
"154",2018-08-02,1174.73611577732
"155",2018-08-03,556.024517232383
"156",2018-08-04,862.858583207836
"157",2018-08-05,756.705518389839
"158",2018-08-06,1291.56735925457
"159",2018-08-07,2089.08421432009
"160",2018-08-08,1379.88814751056
"161",2018-08-09,385.59244773102
"162",2018-08-10,458.40346432548
"163",2018-08-11,658.758486625915
"164",2018-08-12,1352.75104416309
"165",2018-08-13,2278.039095137
"166",2018-08-14,608.312544666751
"167",2018-08-15,905.926537515323
"168",2018-08-16,1019.80415937433
"169",2018-08-17,789.54007946381
"170",2018-08-18,864.303610460831
"171",2018-08-19,2210.83608192713
"172",2018-08-20,1315.68553518232
"173",2018-08-21,680.01696593673
"174",2018-08-22,504.156397740075
"175",2018-08-23,1244.84188830122
"176",2018-08-24,1534.25629715156
"177",2018-08-25,1453.36504302435
"178",2018-08-26,635.420821937583
"179",2018-08-27,1119.64425606188
"180",2018-08-28,395.055210510729
"181",2018-08-29,894.01702940781
"182",2018-08-30,1925.30196671377
"183",2018-08-31,644.964027165666
"184",2018-09-01,781.745157542283
"185",2018-09-02,856.394092931316
"186",2018-09-03,2061.42246031591
"187",2018-09-04,1587.94245923685
"188",2018-09-05,2698.47504702876
"189",2018-09-06,1891.88927368036
"190",2018-09-07,1125.53730618219
"191",2018-09-08,688.261944352837
"192",2018-09-09,1724.98212520699
"193",2018-09-10,2677.28326442936
"194",2018-09-11,3117.98677553162
"195",2018-09-12,2032.86853126251
"196",2018-09-13,1469.34864094163
"197",2018-09-14,1209.60077121888
"198",2018-09-15,2297.82832607672
"199",2018-09-16,1055.61221171399
"200",2018-09-17,1703.90366378683
"201",2018-09-18,2694.18139455401
"202",2018-09-19,994.35037957055
"203",2018-09-20,1692.89336783406
"204",2018-09-21,1860.95690325884
"205",2018-09-22,838.357799530254
"206",2018-09-23,3981.59715759111
"207",2018-09-24,2241.74030471551
"208",2018-09-25,1059.47099133215
"209",2018-09-26,986.52336775808
"210",2018-09-27,1237.42486925345
"211",2018-09-28,2487.28224149527
"212",2018-09-29,2983.23805067567
"213",2018-09-30,1797.09764639182
"214",2018-10-01,981.461187501457
"215",2018-10-02,913.927990662055
"216",2018-10-03,1134.88321957201
"217",2018-10-04,945.571129770141
"218",2018-10-05,874.857117910893
"219",2018-10-06,1716.80636286303
"220",2018-10-07,477.679474583569
"221",2018-10-08,1203.84798542884
"222",2018-10-09,1489.16220393657
"223",2018-10-10,1475.32337721455
"224",2018-10-11,3299.57896317514
"225",2018-10-12,3143.10198034819
"226",2018-10-13,1941.90026767644
"227",2018-10-14,1412.12782455882
"228",2018-10-15,1529.82033788176
"229",2018-10-16,1257.57303935827
"230",2018-10-17,2538.44387330515
"231",2018-10-18,1418.99001587411
"232",2018-10-19,824.833865075285
"233",2018-10-20,1391.58246027919
"234",2018-10-21,1444.90280525871
"235",2018-10-22,719.643213486966
"236",2018-10-23,3061.58983712215
"237",2018-10-24,2765.13392502444
"238",2018-10-25,653.944947102434
"239",2018-10-26,1626.42368707429
"240",2018-10-27,810.199880201554
"241",2018-10-28,672.570105404398
"242",2018-10-29,1222.04418343642
"243",2018-10-30,1930.80188126228
"244",2018-10-31,1405.71009358112
"245",2018-11-01,1053.23204397101
"246",2018-11-02,1689.94298302609
"247",2018-11-03,1443.83908421826
"248",2018-11-04,3353.82389961835
"249",2018-11-05,2221.14305607205
"250",2018-11-06,1418.02114793752
"251",2018-11-07,885.274596070659
"252",2018-11-08,1397.05506126187
"253",2018-11-09,1938.42264855959
"254",2018-11-10,3754.91807824246
"255",2018-11-11,3466.3627247523
"256",2018-11-12,741.867015187337
"257",2018-11-13,1206.1004188874
"258",2018-11-14,1139.88804865817
"259",2018-11-15,2003.38906358485
"260",2018-11-16,1561.86821301761
"261",2018-11-17,3165.42489880818
"262",2018-11-18,791.059629994858
"263",2018-11-19,2470.08466260505
"264",2018-11-20,970.892372541847
"265",2018-11-21,2184.91776009596
"266",2018-11-22,3658.11187025732
"267",2018-11-23,2471.06036631579
"268",2018-11-24,2846.25879346425
"269",2018-11-25,2042.81859309986
"270",2018-11-26,1415.01590688157
"271",2018-11-27,2380.28769120044
"272",2018-11-28,3172.45844101173
"273",2018-11-29,2825.27630369915
"274",2018-11-30,1901.41785635873
"275",2018-12-01,1462.45679475881
"276",2018-12-02,1311.29193589467
"277",2018-12-03,2278.06071273995
"278",2018-12-04,1590.50204986937
"279",2018-12-05,1230.49029877978
"280",2018-12-06,1132.75129823327
"281",2018-12-07,1489.89642699005
"282",2018-12-08,1149.82348607894
"283",2018-12-09,1479.89907663728
"284",2018-12-10,1719.03364726351
"285",2018-12-11,1069.68290478764
"286",2018-12-12,924.930658258955
"287",2018-12-13,1023.00821698998
"288",2018-12-14,1117.4463061606
"289",2018-12-15,2173.30193249177
"290",2018-12-16,1888.72021852289
"291",2018-12-17,1111.74937020811
"292",2018-12-18,1361.15714086187
"293",2018-12-19,2251.85012854448
"294",2018-12-20,1944.64774488226
"295",2018-12-21,1365.13733677343
"296",2018-12-22,3273.46972252393
"297",2018-12-23,1985.03428789758
"298",2018-12-24,1364.46455906734
"299",2018-12-25,1308.33606769555
"300",2018-12-26,649.279325499174
"301",2018-12-27,2063.88214128304
"302",2018-12-28,1665.52910616381
"303",2018-12-29,2708.0852437239
"304",2018-12-30,1143.42233690024
"305",2018-12-31,848.150808167074
"306",2019-01-01,631.175604900277
"307",2019-01-02,1417.10901779753
"308",2019-01-03,1980.87948874616
"309",2019-01-04,1836.37135536071
"310",2019-01-05,1068.31923198567
"311",2019-01-06,1026.36506357692
"312",2019-01-07,975.551797003714
"313",2019-01-08,3115.5755934901
"314",2019-01-09,1934.99992344166
"315",2019-01-10,2481.8784514027
"316",2019-01-11,1832.35650911376
"317",2019-01-12,1841.36408711943
"318",2019-01-13,1718.84707088056
"319",2019-01-14,2205.67745791944
"320",2019-01-15,1477.23521611471
"321",2019-01-16,1200.67729796643
"322",2019-01-17,2266.18595358695
"323",2019-01-18,1478.82085003709
"324",2019-01-19,2223.67111262872
"325",2019-01-20,1445.12943586659
"326",2019-01-21,1603.53421470996
"327",2019-01-22,2427.96749534736
"328",2019-01-23,2387.0731635343
"329",2019-01-24,1478.68499883389
"330",2019-01-25,1740.54270811752
